Year,Make,Model,Seller,Location,VIN,Mileage,BodyStyle,Engine,Drivetrain,Transmission,ExteriorColor,InteriorColor,TitleStatus,SellerType,Price,Reserve,Horsepower,Torque
1985,Toyota,MR2,itwontstopsnowin,"Fairview, PA 16415",JT2AW15C7F0033655,"83,538",Coupe,1.6L I4,Rear-wheel drive,Manual (5-speed),Super Red,Red and Black,Clean (PA),Dealer,"$6,800",Has reserve,"[('112', '')]",87 
1988,Isuzu,Trooper,Gusgossert2004,"Saint Paul, MN 55117",JACCH58E0J7980694,"87,200",SUV/Crossover,2.6L I4,4WD/AWD,Manual (5-Speed),Blue/Grey,Grey,Clean (MN),Private Party,"$2,800",No reserve,"[('113', '')]",['144']
1985,BMW,524td,dansimoes,"Alamo, CA 94507",WBADB2403F0532060,"53,400",Sedan,2.4L I6,Rear-wheel drive,Automatic (4-speed),Cosmos Blue,Tan,Clean (CA),Private Party,"$7,269",Has reserve,"[('114', '')]",['155']
1992,Volvo,240,my3swedes,"Leander, TX 78641",YV1AW8803N1923753,"245,900",Wagon,2.3L I4,Rear-wheel drive,Automatic (4-speed),Beige Metallic,Tan,Clean (TX),Private Party,"$2,500",No reserve,"[('114', '')]",['136']
1986,Alfa Romeo,Spider,badaspen,"Hampstead, NC 28443",ZARBA5410G1037761,"77,700",Convertible,2.0L I4,Rear-wheel drive,Manual (5-Speed),Rosso Alfa,Tan,Clean (NC),Private Party,"$8,100",Has reserve,"[('115', '')]",['119']
1993,Mazda,MX-5 Miata,OnlyCoolCarsTX,"Universal City, TX 78148",JM1NA3512P1407344,"22,100",Convertible,1.6L I4,Rear-wheel drive,Manual (5-speed),Brilliant Black,Classic Red,Clean (TX),Private Party,"$12,000",Has reserve,"[('116', '')]",['100']
1987,Toyota,4Runner,EvanR,"Boulder, CO 80302",JT4RN62S0H0168095,"232,000",SUV/Crossover,2.2L I4,4WD/AWD,Manual (5-Speed),Red,Gray,Clean (CO),Private Party,"$9,900",Has reserve,"[('116', '')]",['140']
1992,Mazda,MX-5 Miata,YellowMiata,"San Diego, CA 92117",JM1NA351XN1317761,"106,500",Convertible,1.6L I4,Rear-wheel drive,Manual (5-speed),Sunburst Yellow,Black,Clean (CA),Private Party,"$9,800",No reserve,"[('116', '')]",['100']
1991,Mazda,MX-5 Miata,jdkimmel,"Bradenton, FL 34201",JM1NA3519M1229153,"28,900",Convertible,1.6L I4,Rear-wheel drive,Manual (5-speed),British Racing Green,Tan,Clean (FL),Private Party,"$9,600",Has reserve,"[('116', '')]",['100']
1991,Mazda,MX-5 Miata,DylanNA6,"Newport Beach, CA 92657",JM1NA3516M1222144,"52,029",Convertible,1.6L i4,Rear-wheel drive,Manual (5-speed),British Racing Green,Tan,Clean (CA),Private Party,"$9,200",Has reserve,"[('116', '')]",['100']
1990,Mazda,MX-5 Miata,EmperorAlex,"Huntley, IL 60142",JM1NA351XL0116011,"18,400",Convertible,1.6L I4,Rear-wheel drive,Manual (5-Speed),Classic Red,Black,Clean (IL),Private Party,"$8,900",No reserve,"[('116', '')]",['100']
1993,Mazda,MX-5 Miata,52By52,"Sawgrass, FL 32082",JM1NA351XP1410167,"89,700",Convertible,1.6L I4,Rear-wheel drive,Manual (5-speed),Brilliant Black,Classic Red,Clean (FL),Private Party,"$6,800",No reserve,"[('116', '')]",['100']
1991,Toyota,Pickup,PowersMotorsports,"Jacksonville, FL 32225",JT4RN01P9M0022461,"275,600",Truck,2.4L I4,4WD/AWD,Manual (5-speed),Light Blue Metallic,Blue,Clean (FL),Dealer,"$6,200",No reserve,"[('116', '')]",['140']
1991,Mazda,MX-5 Miata,dtyree99,"Afton, TN 37615",JM1NA3513M0209308,"140,100",Convertible,1.6L I4,Rear-wheel drive,Manual (5-speed),Classic Red,Black and Gray,Clean (TN),Private Party,"$6,100",No reserve,"[('116', '')]",['100']
1992,Land Rover,Range Rover,boddingtonbiddlesworth,"Mt Juliet, TN 37122",SALLHABN8JA619249,"89,800",SUV/Crossover,2.5L I4,4WD/AWD,Manual (5-Speed),Trocadero Red,Tan,Clean (TN),Private Party,"$14,600",Has reserve,"[('119', '')]",['209']
1988,Honda,Accord,JetSetBen,"Baltimore, MD (21230)",JHMCA5481JC064666,"82,500",Hatchback,2.0L I4,Front-wheel drive,Automatic (4-Speed),Chateau Red Metallic,Burgundy,Clean (MD),Private Party,"$5,400",Has reserve,"[('120', ''), ('98', '')]",['122']
1983,Mercedes-Benz,300TD,handsomemotors,"Charleston, SC 29401",WDBAB93A6DN016587,"220,900",Wagon,3.0L turbodiesel I5,Rear-wheel drive,Automatic (4-speed),Champagne Metallic,Beige,Clean (SC),Dealer,"$8,250",Has reserve,"[('120', '')]",184 
2003,Chevrolet,S10,Matchmark,"Salem, OR 97304",1GCCS14H038283695,"92,100",Truck,2.2L I4,Rear-wheel drive,Manual (5-Speed),Black,Charcoal,Clean (OR),Dealer,"$6,500",No reserve,"[('120', '')]",['140']
1982,Mercedes-Benz,300D,Asteroid,"Caledonia, MI 49316",WDBAB33A1CB012279,"146,400",Sedan,3.0L Turbodiesel I5,Rear-wheel drive,Automatic (4-Speed),Light Ivory,Palomino,Clean (MI),Private Party,"$4,300",No reserve,"[('120', '')]",['170']
1991,Isuzu,Trooper,Cali_CarGuy,"Dublin, CA 94568",JACCH58R9M7912661,"240,300",SUV/Crossover,2.8L V6,4WD/AWD,Manual (5-Speed),Midnight Blue,Gray,Clean (CA),Private Party,"$3,300",No reserve,"[('120', '')]",['150']
1997,Toyota,RAV4,The_DJE,"Cincinnati, OH 45209",JT3HP10V8V7025442,"245,968",SUV/Crossover,2.0L I-4,4WD/AWD,Automatic (4-speed),Maroon,Gray and Blue,Clean,Private Party,"$2,000",No reserve,"[('120', '')]",['125']
1987,BMW,325e,Naterade,"Rocky Hill, CT 06067",WBAAE5404H1694496,"47,400",Sedan,2.7L I6,Rear-wheel drive,Manual (5-Speed),Salmon Silver Metallic,Pacific Blue,Clean (CT),Private Party,"$10,650",Has reserve,"[('121', '')]",['170']
1987,BMW,528e,SkyMotorCars969,"West Chester, PA 19382",WBADK8302H9707689,1,Sedan,2.7L I6,Rear-wheel drive,Automatic (4-Speed),Salmon Silver,Blue,Clean (PA),Dealer,"$5,500",No reserve,"[('121', '')]",['170']
1985,Mercedes-Benz,190E,superlimit,"Fall River, MA 02720",WDBDA24C2FF078265,"128,000",Sedan,2.3L I4,Rear-wheel drive,Automatic (4-speed),Manilla Beige,Saffron,Clean (MA),Private Party,"$4,400",No reserve,"[('121', '')]",['131']
1984,Mercedes-Benz,190E,thekaz17,"Pittsford, NY 14534",WDBDA24AXEA029454,"111,700",Sedan,2.3L I4,Rear-wheel drive,Automatic (4-Speed),Thistle Green Metallic,Quartz,Clean (NY),Private Party,"$3,350",No reserve,"[('121', '')]",['131']
1986,Mercedes-Benz,190E,porsche968pc,"Webster, NY 14580",WDBDA24D8GF153917,"106,600",Sedan,2.3L I4,Rear-wheel drive,Automatic (4-Speed),Anthracite Grey Metallic,Palomino,Clean (NY),Private Party,"$2,500",No reserve,"[('121', '')]",['136']
1984,Land Rover,Defender,jeffreygeiger,"Brewerton, NY 13029",SALLDVBC7AA221125,"1,500  Miles Shown - TMU",SUV/Crossover,2.5L Turbodiesel I4,4WD/AWD,Manual (5-Speed),Matte Pearl White,Black,Clean (NY),Private Party,"$29,750",Has reserve,"[('122', '')]",['195']
1984,Mercedes-Benz,300D,plymsat71,"Poughkeepsie, NY 12601",WDBAB33A3EA186122,"236,200",Sedan,3.0L Turbo I5,Rear-wheel drive,Automatic (4-speed),Silver Blue,Galaxy Blue,Clean (NY),Private Party,"$8,100",Has reserve,"[('123', '')]",['184']
1993,Honda,Del Sol,legend921,"Chandler, AZ 85226",JHMEH6163PS002035,"53,800",Convertible,1.6L I4,Front-wheel drive,Manual (5-speed),Milano Red,Black,Clean (AZ),Private Party,"$10,999",Has reserve,"[('125', '')]",['106']
1994,Honda,Del Sol,LBI_Limited,"Philadelphia, PA 19124", JHMEH6166RS000962,"93,900",Convertible,1.6L I4,Front-wheel drive,Manual (5-Speed),Captiva Blue Pearl,Black,Clean (PA),Dealer,"$9,999",Has reserve,"[('125', '')]",['106']
1994,Honda,Civic,Glotag,"Portland, OR 97214",1HGEJ1127RL022910,"118,000",Coupe,1.6L I4,Front-wheel drive,Manual (5-Speed),Frost White,Gray,Clean (OR),Dealer,"$7,000",No reserve,"[('125', '')]",['106']
1992,Toyota,MR2,TiptonsUS25,"Walton, KY 41904",JT2SW21N9N0015089,"50,000",Coupe,2.2L I4,Rear-wheel drive,Manual (5-Speed),Aquamarine Pearl,Charcoal,Clean (KY),Dealer,"$8,300",Has reserve,"[('130', '')]",['140']
1987,Chevrolet,M1028,ablouin1992,"Altenburg, MO 62732",1GCHD34J3HF316402,"87,222",Truck,6.2L Diesel V8,4WD/AWD,Automatic (3-speed),Camouflage,Red,Clean,Private Party,"$2,769",No reserve,"[('130', '')]",['240']
1997,Mazda,MX-5 Miata,Matico40,"Las Vegas, NV 89178",JM1NA3539V0738894,"51,800",Convertible,1.8L I4,Rear-wheel drive,Manual (5-Speed),Twilight Blue Mica,Tan,Clean (NV),Private Party,"$8,451",No reserve,"[('133', '')]",['114']
1997,Mazda,MX-5 Miata,simplify_add_lightness,"Ithaca, NY 14850",JM1NA3534V0733618,"101,800",Convertible,1.8L I4,Rear-wheel drive,Manual (5-Speed),Brilliant Black,Black,Clean (NY),Private Party,"$7,500",No reserve,"[('133', '')]",['114']
1989,Nissan,Silvia,FedLegal,"Staten Island, NY 10309",S13081310,"57,500",Coupe,1.8L I4,Rear-wheel drive,Automatic (4-Speed),Midnight Blue Pearl,Gray,Clean (VA),Dealer,"$5,510",Has reserve,"[('133', '')]",['117']
2002,Mercedes-Benz,SLK32 AMG,Le5lieB,"Temecula, CA 92592",WDBKK66F72F262968,"23,400",Convertible,3.2L Supercharged V6,Rear-wheel drive,Automatic (5-Speed),Alabaster White,Charcoal / Alpaca Gray,Clean (CA),Private Party,"$18,500",Has reserve,"[('134', ''), ('349', '')]",['332']
1993,Nissan,Pickup,Unicorncollector,"Columbus, OH 43221",1N6SD11Y7PC310482,"31,600",Truck,2.4L I4,4WD/AWD,Manual (5-Speed),Ultra Red,Gray,Clean (OH),Private Party,"$7,400",No reserve,"[('134', '')]",['154']
1991,BMW,318is,NotLast,"Oxnard, CA 93035",WBAAF9310MEE73305,"467,400",Coupe,1.8L I4,Rear-wheel drive,Manual (5-Speed),Alpine White II,Black,Clean (CA),Private Party,"$6,900",No reserve,"[('134', '')]",['127']
1990,Land Rover,Defender,ULTIMATE_COLLECTOR,"Deerfield Beach, FL 33442",SALLDMAZ1F7418263,"12,700",Truck,3.9L Turbocharged I4,4WD/AWD,Manual (4-speed),Nardo Gray,Black and Green,Clean (FL),Private Party,"$31,000",Has reserve,"[('135', '')]",['243']
1985,Cadillac,Eldorado,euroJDM,"Los Angeles, CA 91367",1G6EL6784FE642862,"6,400 Miles Shown",Convertible,4.1L V8,Front-wheel drive,Automatic (4-speed),Firemist Blue,White,Clean (CA),Private Party,"$15,650",Has reserve,"[('135', '')]",['200']
1984,Toyota,Land Cruiser,would,"Denver, CO 80206",JT3FJ60G6E1116896,"117,273",SUV/Crossover,4.2L I6,4WD/AWD,Manual (4-speed),Light Blue,Gray,Clean (CO),Private Party,"$15,000",Has reserve,"[('135', '')]",['210']
1986,Toyota,Land Cruiser,bluemel79,"Monument, CO 80132",JT3FJ60G8G1134562,"285,000",SUV/Crossover,4.2L I6,4WD/AWD,Manual (4-speed),Silver,Gray,Rebuilt (CO),Private Party,"$9,575",Has reserve,"[('135', '')]",['210']
2003,Toyota,MR2 Spyder,DonN59,"Depew, NY 14043",JTDFR320430057918,"50,500",Convertible,1.8L I4,Rear-wheel drive,Manual (5-Speed),Black,Black,Clean (NY),Private Party,"$10,100",Has reserve,"[('138', '')]",['126']
2003,Toyota,MR2 Spyder,NixfastCar,"Kenosha, WI 53144",JTDFR320930062306,"81,100",Convertible,1.8L I4,Rear-wheel drive,Manual (5-Speed),Solar Yellow,Black,Clean (WI),Private Party,"$8,200",No reserve,"[('138', '')]",['126']
1993,Toyota,Previa,LauerAutoJay,"Clearwater, KS 67026",JT3AC11R5P1104751,"67,800",Van/Minivan,2.4L I4,Rear-wheel drive,Manual (5-Speed),Sandstone Beige Metallic,Tan,Clean (CO),Dealer,"$8,100",No reserve,"[('138', '')]",['154']
1997,BMW,Z3,buczkom,"Brookfield, IL 60513",4USCH7328VLB78656,"87,400",Convertible,1.9L Supercharged I4,Rear-wheel drive,Manual (5-speed),Dark Green II,Beige,Clean (IL),Private Party,"$4,700",Has reserve,"[('138', '')]",['133']
1995,BMW,318ti,rapidtransit,"Ottawa, ON, Canada",WBACG5322SAM50777,"114,300",Hatchback,1.8L I4,Rear-wheel drive,Manual (5-speed),Alpine White,Bamboo Anthracite,Clean (Ontario),Private Party,"$4,200",No reserve,"[('138', '')]",['129']
2000,Mazda,MX-5 Miata,zomoidaz,"Middle River, MD 21220",JM1NB3539Y0139172,"107,200",Convertible,1.8L I4,Rear-wheel drive,Manual (5-Speed),Emerald Mica Green,Tan,Clean (MD),Private Party,"$6,113",Has reserve,"[('140', ''), ('200', '')]",['119']
1991,Nissan,Sentra,mattld84,"Aurora, CO 80016",1N4GB32A1MC733040,"32,900",Coupe,2.0L I4,Front-wheel drive,Manual (5-Speed),Aztec Red,Gray,Clean (CO),Private Party,"$12,200",Has reserve,"[('140', '')]",['132']
1985,Ford,LTD,AmandeepSingh,"Parma, OH 44134",2FABP44F2FX205622,"27,500",Wagon,5.0L V8,Rear-wheel drive,Automatic (4-Speed),Pastel Regatta Blue,Midnight Blue,Clean (OH),Private Party,"$11,600",Has reserve,"[('140', '')]",['250']
2016,Exomotive,Exocet,jhodgson,"Suwanee, GA 30024",GA680706,"97,000",Convertible,1.8L i4,Rear-wheel drive,Manual (5-speed),White,Black,Clean,Private Party,"$10,500",Has reserve,"[('140', '')]",['119']
1987,Pontiac,Fiero,Valadicus,"Encinitas, CA 92007",1G2PG1196HP216729,"45,800",Coupe,2.8L V6,Rear-wheel drive,Automatic (3-Speed),Medium Garnet Red,Black,Clean (CA),Private Party,"$7,500",No reserve,"[('140', '')]",['170']
1993,Infiniti,G20,MrJohnson,"Redmond, WA 98052",JNKCP01D6PT458899,"179,400",Sedan,2.0L I4,Front-wheel drive,Manual (5-speed),White Pearl,Beige,Clean (WA),Private Party,"$6,555",No reserve,"[('140', '')]",['132']
1999,Mazda,MX-5 Miata,hank,"Portland, OR 97201",JM1NB3533X0123127,"34,730",Convertible,1.8L I4,Rear-wheel drive,Manual (5-Speed),Highlight Silver Metallic,Tan,Clean,Private Party,"$6,200",No reserve,"[('140', '')]",['119']
1999,Mazda,MX-5 Miata,Steve1985,"Annandale, VA 22003", JM1NB353XX0110438,"46,118",Convertible,1.8L I-4,Rear-wheel drive,Manual (5-Speed),Silver,Tan,Clean,Private Party,"$6,200",No reserve,"[('140', '')]",['119']
1987,Ford,LTD,SideBClassics,"Carmel, IN 46032",2FABP79F8HX161395,"170,300",Wagon,5.0L V8,Rear-wheel drive,Automatic (4-Speed),Midnight Canyon Red Metallic,Crushed Red Velvet,Clean (IN),Private Party,"$5,555",No reserve,"[('140', '')]",['250']
1989,Nissan,Pickup,GJBEL,"Lubbock, TX 79424",1N6HD11Y2KC339116,"149,200",Truck,3.0L V6,4WD/AWD,Manual (5-speed),Silver Frost,Blue,Clean (TX),Private Party,"$5,200",No reserve,"[('140', '')]",['166']
1986,Pontiac,Fiero,CAR_BROS,"Fresno, CA 93727",1G2PF379XGP201896,"150,000",Coupe,2.8L V6,Rear-wheel drive,Automatic (4-speed),Red,Black and Red,Clean (CA),Private Party,"$5,001",No reserve,"[('140', '')]",['170']
1992,Saab,900,JHB1,"Sherwood Park AB, Canada",YS3AK46E3N2014293,"41,100",Sedan,2.1L Inline-4,Front-wheel drive,Automatic (3-Speed),Cirrus White,Tan,Clean (Alberta),Private Party,"$3,700",Has reserve,"[('140', '')]",['133']
1983,Lincoln,Mark VI,whitechr,"Rensselaer, IN 47978",1MRBP98F8DY700788,"39,000",Coupe,5.0L V8,Rear-wheel drive,Automatic (4-Speed),White,Tan,Clean (IN),Dealer,"$3,700",No reserve,"[('140', '')]",['231']
1990,Pontiac,Grand Prix,Colie,"Milwaukee, WI 53223",1G2WP14T8LF276996,"96,000",Coupe,3.1L V6,Front-wheel drive,Manual (5-speed),Blue,Gray,Clean (WI),Private Party,"$2,400",No reserve,"[('140', '')]",['180']
1992,Chrysler,LeBaron,carsarethestars,"Gainesville, GA 30506",1C3XU4530NF155850,1,Convertible,3.0L V6,Front-wheel drive,Manual (5-Speed),Aqua Pearl Coat,White,Clean (GA),Private Party,"$5,192",No reserve,"[('141', '')]",['167']
1995,Chrysler,LeBaron,SeibelsAutoWarehouse,"Freeport, PA 16229",1C3EU453XSF656828,"45,400",Convertible,3.0L V6,Front-wheel drive,Automatic (4-Speed),Radiant Fire Red,Charcoal,Clean (PA),Dealer,"$4,990",No reserve,"[('141', '')]",['172']
